fold,name,train_size,test_size,train_mae,test_mae,test_rmse,test_r2,within_3,within_5,within_10
1,Train: 2021-2023 | Test: 2023-2024,45391,25248,4.535182952880859,4.6654791831970215,6.05355978012085,0.5475358963012695,40.30022179974652,63.43868821292775,90.90224968314322
2,Train: 2021-2024 | Test: 2024-2025,70639,25234,4.554798126220703,4.709784984588623,6.1190948486328125,0.5170608758926392,40.306729016406436,62.85963382737576,90.69509392090038
3,Train: 2021-2025 | Test: 2025-2026,95873,9806,4.586461544036865,4.710273742675781,6.142146587371826,0.5318232774734497,40.44462573934326,62.77789108708953,90.4242300632266
